iWine,Barcode,Location,Bin,Size,Currency,ExchangeRate,Valuation,Price,NativePrice,NativePriceCurrency,StoreName,PurchaseDate,BottleNote,Vintage,Wine,Locale,Country,Region,SubRegion,Appellation,Producer,SortProducer,Type,Color,Category,Varietal,MasterVarietal,Designation,Vineyard,WA,WS,IWC,BH,AG,WE,JR,RH,JG,GV,JK,LD,CW,WFW,PR,SJ,WD,RR,JH,MFW,WWR,IWR,CHG,TT,TWF,DR,FP,JM,PG,WAL,JS,CT,CNotes,MY,PNotes,BeginConsume,EndConsume,PurchasedCommunity,QuantityCommunity,PendingCommunity,ConsumedCommunity
4836618,204910210,Cabinet,,750ml,USD,1,12.1447,20.0,20.0,USD,Costco,4/21/2025,,2021,Bodegas Luis Gurpegui Muga Rioja 147 Aniversario Rioja,"Spain, La Rioja, Rioja",Spain,La Rioja,Unknown,Rioja,Bodegas Luis Gurpegui Muga,"Gurpegui Muga, Bodegas Luis ",Red,Red,Dry,Tempranillo,Tempranillo,147 Aniversario Rioja,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5365853658537,45,,,2024.0,2031.0,1457,757,0,700
4836618,206538556,Cabinet,,750ml,USD,1,12.1447,0.0,0.0,USD,Unknown,5/31/2025,,2021,Bodegas Luis Gurpegui Muga Rioja 147 Aniversario Rioja,"Spain, La Rioja, Rioja",Spain,La Rioja,Unknown,Rioja,Bodegas Luis Gurpegui Muga,"Gurpegui Muga, Bodegas Luis ",Red,Red,Dry,Tempranillo,Tempranillo,147 Aniversario Rioja,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5365853658537,45,,,2024.0,2031.0,1457,757,0,700
4836618,205241732,Cabinet,,750ml,USD,1,12.1447,20.0,20.0,USD,Costco,4/29/2025,,2021,Bodegas Luis Gurpegui Muga Rioja 147 Aniversario Rioja,"Spain, La Rioja, Rioja",Spain,La Rioja,Unknown,Rioja,Bodegas Luis Gurpegui Muga,"Gurpegui Muga, Bodegas Luis ",Red,Red,Dry,Tempranillo,Tempranillo,147 Aniversario Rioja,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5365853658537,45,,,2024.0,2031.0,1457,757,0,700
4836618,205241733,Cabinet,,750ml,USD,1,12.1447,20.0,20.0,USD,Costco,4/29/2025,,2021,Bodegas Luis Gurpegui Muga Rioja 147 Aniversario Rioja,"Spain, La Rioja, Rioja",Spain,La Rioja,Unknown,Rioja,Bodegas Luis Gurpegui Muga,"Gurpegui Muga, Bodegas Luis ",Red,Red,Dry,Tempranillo,Tempranillo,147 Aniversario Rioja,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5365853658537,45,,,2024.0,2031.0,1457,757,0,700
4453068,204749184,Cabinet,,750ml,USD,1,15.32,15.0,15.0,USD,Costco,4/17/2025,,2021,Handpicked Shiraz 81 Regional Selections McLaren Vale,"Australia, South Australia, Fleurieu, McLaren Vale",Australia,South Australia,Fleurieu,McLaren Vale,Handpicked,Handpicked,Red,Red,Dry,Shiraz,Syrah,81 Regional Selections,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8,5,,,2023.0,2026.0,72,21,0,51
4149624,204749168,Cabinet,,750ml,USD,1,14.9078,14.0,14.0,USD,Costco,4/17/2025,,2018,Kauzo Malbec Terroir Expressions Hostage La Consulta,"Argentina, Mendoza, Valle de Uco, La Consulta",Argentina,Mendoza,Valle de Uco,La Consulta,Kauzo,Kauzo,Red,Red,Dry,Malbec,Malbec,Terroir Expressions Hostage,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2,10,,,2020.0,2025.0,104,56,0,48
5019722,206793909,Cabinet,,750ml,USD,1,20.1914,20.0,20.0,USD,Costco,6/7/2025,,2021,Kirkland Signature Barolo,"Italy, Piedmont, Langhe, Barolo",Italy,Piedmont,Langhe,Barolo,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Nebbiolo,Nebbiolo,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2,44,,,2027.0,2032.0,1574,1131,1,442
5175912,199331071,Cabinet,,750ml,USD,1,20.8264,20.0,20.0,USD,Costco,12/6/2024,,2022,Kirkland Signature Cabernet Sauvignon Signature Series Rutherford,"USA, California, Napa Valley, Rutherford",USA,California,Napa Valley,Rutherford,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Cabernet Sauvignon,Cabernet Sauvignon,Signature Series,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3846153846154,13,,,2026.0,2030.0,413,304,0,109
4764445,194648931,Cabinet,,750ml,USD,1,19.3661,0.0,0.0,USD,Unknown,8/11/2024,,2021,Kirkland Signature Cabernet Sauvignon Signature Series Suscol Napa Valley,"USA, California, Napa Valley",USA,California,Napa Valley,Napa Valley,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Cabernet Sauvignon,Cabernet Sauvignon,Signature Series,Suscol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,47,,,2024.0,2030.0,816,399,0,417
5159126,197657375,Cabinet,,750ml,USD,1,16.2186,14.0,14.0,USD,Costco,11/2/2024,,2022,Kirkland Signature Gigondas,"France, Rhône, Southern Rhône, Gigondas",France,Rhône,Southern Rhône,Gigondas,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Red Rhone Blend,Red Rhone Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7066666666667,82,,,2024.0,2028.0,1838,1007,0,831
5313495,205241686,Cabinet,,750ml,USD,1,9.3774,9.0,9.0,USD,Costco,4/29/2025,,2023,Kirkland Signature Pinot Noir Carneros,"USA, California, Napa / Sonoma, Carneros",USA,California,Napa / Sonoma,Carneros,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Pinot Noir,Pinot Noir,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7083333333333,25,87.0,1.0,2025.0,2027.0,472,192,0,280
5313495,207020984,Cabinet,,750ml,USD,1,9.3774,9.0,9.0,USD,Costco,6/13/2025,,2023,Kirkland Signature Pinot Noir Carneros,"USA, California, Napa / Sonoma, Carneros",USA,California,Napa / Sonoma,Carneros,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Pinot Noir,Pinot Noir,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7083333333333,25,87.0,1.0,2025.0,2027.0,472,192,0,280
5254036,207396665,Cabinet,,750ml,USD,1,11.9461,0.0,0.0,USD,Unknown,6/23/2025,,2022,Kirkland Signature Pinot Noir Willamette Valley,"USA, Oregon, Willamette Valley",USA,Oregon,Willamette Valley,Willamette Valley,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Pinot Noir,Pinot Noir,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,32,,,2023.0,2027.0,370,165,0,205
5382658,207273247,Cabinet,,750ml,USD,1,15.0504,15.0,15.0,USD,Costco,6/20/2025,,2023,Kirkland Signature Red Wine Columbia Valley,"USA, Washington, Columbia Valley",USA,Washington,Columbia Valley,Columbia Valley,Kirkland Signature,Kirkland Signature,Red,Red,Dry,Red Bordeaux Blend,Red Bordeaux Blend,Red Wine,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.6,6,,,2026.0,2029.0,378,216,0,162
5022399,199331050,Cabinet,,750ml,USD,1,13.05,13.0,13.0,USD,Costco,12/6/2024,,2020,Leza Garcia Rioja Tinto Familia Crianza,"Spain, La Rioja, Rioja",Spain,La Rioja,Unknown,Rioja,Leza Garcia,Leza Garcia,Red,Red,Dry,Tempranillo Blend,Tempranillo,Tinto Familia Crianza,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,2,,,2024.0,2026.0,56,25,0,31
4680082,204582134,Cabinet,,750ml,USD,1,13.347,13.0,13.0,USD,Costco,4/13/2025,,2021,Masseria Tagaro Cinquenoci,"Italy, Puglia, Valle d'Itria IGT",Italy,Puglia,Unknown,Valle d'Itria IGT,Masseria Tagaro,Masseria Tagaro,Red,Red,Dry,Primitivo,Zinfandel,Cinquenoci,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8333333333333,7,,,2023.0,2028.0,171,106,0,65
5146639,200004516,Cabinet,,750ml,USD,1,15.4966,15.0,15.0,USD,Costco,12/20/2024,,2020,Monnalisa Montepulciano d'Abruzzo,"Italy, Abruzzi, Montepulciano d'Abruzzo",Italy,Abruzzi,Unknown,Montepulciano d'Abruzzo,Monnalisa,Monnalisa,Red,Red,Dry,Montepulciano,Montepulciano,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,1,,,2023.0,2024.0,12,3,0,9
4876886,203403745,Cabinet,,750ml,USD,1,20.0167,22.0,22.0,USD,Costco,3/15/2025,,2021,Bodega Numanthia Toro Termes,"Spain, Castilla y León, Toro",Spain,Castilla y León,Unknown,Toro,Bodega Numanthia,"Numanthia, Bodega ",Red,Red,Dry,Tinta de Toro,Tempranillo,Termes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.2222222222222,9,,,2026.0,2033.0,234,156,0,78
4499923,195274021,Cabinet,,750ml,USD,1,17.8106,19.99,19.99,USD,Costco,8/31/2024,,2016,Bodegas Olarra Rioja Clásico Gran Reserva,"Spain, La Rioja, Rioja",Spain,La Rioja,Unknown,Rioja,Bodegas Olarra,"Olarra, Bodegas ",Red,Red,Dry,Tempranillo Blend,Tempranillo,Clásico Gran Reserva,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,17,,,2024.0,2028.0,492,250,1,241
5037789,203403678,Cabinet,,750ml,USD,1,17.0542,13.0,13.0,USD,Costco,3/15/2025,,2019,Bodegas Olarra Tinta del Pais Ribera del Duero Altos de Valdoso Roble,"Spain, Castilla y León, Ribera del Duero",Spain,Castilla y León,Unknown,Ribera del Duero,Bodegas Olarra,"Olarra, Bodegas ",Red,Red,Dry,Tinta del Pais,Tempranillo,Altos de Valdoso Roble,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3333333333333,3,,,2028.0,2033.0,27,19,0,8
4503660,194649223,Cabinet,,750ml,USD,1,15.0446,0.0,0.0,USD,Unknown,8/11/2024,,2020,Pier Paolo Grasso Langhe Nebbiolo Riva,"Italy, Piedmont, Langhe, Langhe DOC",Italy,Piedmont,Langhe,Langhe DOC,Pier Paolo Grasso,Pier Paolo Grasso,Red,Red,Dry,Nebbiolo,Nebbiolo,Riva,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.25,4,,,2026.0,,61,22,0,39
4948535,202339653,Cabinet,,750ml,USD,1,19.9437,20.0,20.0,USD,Costco,2/17/2025,,2021,Quinta do Portal Douro Reserva,"Portugal, Douro",Portugal,Douro,Unknown,Douro,Quinta do Portal,Quinta do Portal,Red,Red,Dry,Red Blend,Red Blend,Reserva,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,2,,,2025.0,2030.0,34,15,0,19
4658720,201541723,Cabinet,,750ml,USD,1,20.3391,19.0,19.0,USD,Costco,1/27/2025,,2022,Schug Pinot Noir Sonoma Coast,"USA, California, Sonoma County, Sonoma Coast",USA,California,Sonoma County,Sonoma Coast,Schug,Schug,Red,Red,Dry,Pinot Noir,Pinot Noir,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1666666666667,9,,,2024.0,2027.0,301,109,0,192
4622426,206793818,Cabinet,,750ml,USD,1,24.9495,18.0,18.0,USD,Costco,6/7/2025,,2021,Scott Family Estate Pinot Noir Dijon Clone,"USA, California, Central Coast, Arroyo Seco",USA,California,Central Coast,Arroyo Seco,Scott Family Estate,Scott Family Estate,Red,Red,Dry,Pinot Noir,Pinot Noir,Dijon Clone,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6666666666667,7,,,2024.0,2027.0,49,18,0,31
4774684,197459604,Cabinet,,750ml,USD,1,26.4151,22.0,22.0,USD,Costco,10/29/2024,,2021,SLO Down Wines Sexual Chocolate,"USA, California, Napa Valley",USA,California,Napa Valley,Napa Valley,SLO Down Wines,SLO Down Wines,Red,Red,Dry,Red Blend,Red Blend,Sexual Chocolate,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,12,,,2023.0,2026.0,209,114,0,95
4079171,200004613,Cabinet,,750ml,USD,1,19.8423,20.0,20.0,USD,Costco,12/20/2024,,2018,Tenute Girolamo Conte Giangirolamo Puglia IGT,"Italy, Puglia, Puglia IGT",Italy,Puglia,Unknown,Puglia IGT,Tenute Girolamo,Tenute Girolamo,Red,Red,Dry,Red Blend,Red Blend,Unknown,Conte Giangirolamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4166666666667,13,,,2024.0,2030.0,325,198,1,126
4619332,207020978,Cabinet,,750ml,USD,1,7.27,7.0,7.0,USD,Costco,6/13/2025,,2020,Château Thomas Francs Côtes de Bordeaux,"France, Bordeaux, Libournais, Francs Côtes de Bordeaux",France,Bordeaux,Libournais,Francs Côtes de Bordeaux,Château Thomas,"Thomas, Château ",Red,Red,Dry,Red Bordeaux Blend,Red Bordeaux Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8333333333333,6,,,2024.0,2029.0,109,82,0,27
4225679,205927891,Cabinet,,750ml,USD,1,11.69,20.0,20.0,USD,Costco,5/16/2025,,2021,Two Hands Shiraz Gnarly Dudes,"Australia, South Australia, Barossa, Barossa Valley",Australia,South Australia,Barossa,Barossa Valley,Two Hands,Two Hands,Red,Red,Dry,Shiraz,Syrah,Gnarly Dudes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7058823529412,18,,,2024.0,2029.0,465,205,0,260
4370446,195274177,Cabinet,,750ml,USD,1,20.4344,13.99,13.99,USD,Costco,8/31/2024,,2019,Tenuta Valleselle (Tinazzi) Ripasso della Valpolicella Superiore Rovertondo,"Italy, Veneto, Valpolicella, Ripasso della Valpolicella Superiore",Italy,Veneto,Valpolicella,Ripasso della Valpolicella Superiore,Tenuta Valleselle (Tinazzi),"Valleselle (Tinazzi), Tenuta ",Red,Red,Dry,Corvina Blend,Corvina,Rovertondo,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,22,,,2023.0,2027.0,405,197,0,208
5217601,207396680,Cabinet,,750ml,USD,1,15.6814,0.0,0.0,USD,Unknown,6/23/2025,,2022,Tenuta Valleselle (Tinazzi) Ripasso della Valpolicella Superiore Rovertondo,"Italy, Veneto, Valpolicella, Ripasso della Valpolicella Superiore",Italy,Veneto,Valpolicella,Ripasso della Valpolicella Superiore,Tenuta Valleselle (Tinazzi),"Valleselle (Tinazzi), Tenuta ",Red,Red,Dry,Corvina Blend,Corvina,Rovertondo,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,3,,,2025.0,2029.0,69,39,0,30
5090647,196187056,Cabinet,,750ml,USD,1,12.9966,15.0,15.0,USD,Costco,9/27/2024,,2019,Viña Ravanal Cabernet Sauvignon,"Chile, Rapel Valley, Colchagua Valley",Chile,Rapel Valley,Colchagua Valley,Unknown,Viña Ravanal,Viña Ravanal,Red,Red,Dry,Cabernet Sauvignon,Cabernet Sauvignon,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,1,,,2023.0,2026.0,9,5,0,4
3773544,208028816,Cellar,,750ml,USD,1,17.6667,0.0,0.0,USD,Unknown,7/11/2025,,2019,Château Bouscassé Madiran,"France, Southwest France, Madiran",France,Southwest France,Unknown,Madiran,Château Bouscassé,"Bouscassé, Château ",Red,Red,Dry,Tannat Blend,Tannat,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3333333333333,35,,,2025.0,2032.0,1000,741,42,217
4997663,210695922,Cellar,,750ml,USD,1,15.0014,6.97,6.97,USD,Costco,9/20/2025,,2019,Château Bouscassé Pacherenc du Vic-Bilh Sec Les Jardins Philosophiques,"France, Southwest France, Pacherenc du Vic-Bilh Sec",France,Southwest France,Unknown,Pacherenc du Vic-Bilh Sec,Château Bouscassé,"Bouscassé, Château ",White,White,Dry,Petit Courbu,Petit Courbu,Les Jardins Philosophiques,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2023.0,2027.0,39,22,0,17
4997663,210695923,Cellar,,750ml,USD,1,15.0014,6.97,6.97,USD,Costco,9/20/2025,,2019,Château Bouscassé Pacherenc du Vic-Bilh Sec Les Jardins Philosophiques,"France, Southwest France, Pacherenc du Vic-Bilh Sec",France,Southwest France,Unknown,Pacherenc du Vic-Bilh Sec,Château Bouscassé,"Bouscassé, Château ",White,White,Dry,Petit Courbu,Petit Courbu,Les Jardins Philosophiques,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2023.0,2027.0,39,22,0,17
4997663,210695924,Cellar,,750ml,USD,1,15.0014,6.97,6.97,USD,Costco,9/20/2025,,2019,Château Bouscassé Pacherenc du Vic-Bilh Sec Les Jardins Philosophiques,"France, Southwest France, Pacherenc du Vic-Bilh Sec",France,Southwest France,Unknown,Pacherenc du Vic-Bilh Sec,Château Bouscassé,"Bouscassé, Château ",White,White,Dry,Petit Courbu,Petit Courbu,Les Jardins Philosophiques,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2023.0,2027.0,39,22,0,17
3968478,206236585,Cellar,,750ml,USD,1,27.1471,28.0,28.0,USD,Costco,5/24/2025,,2020,Château Cantemerle,"France, Bordeaux, Médoc, Haut-Médoc",France,Bordeaux,Médoc,Haut-Médoc,Château Cantemerle,"Cantemerle, Château ",Red,Red,Dry,Red Bordeaux Blend,Red Bordeaux Blend,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2857142857143,63,,,2026.0,2039.0,4241,3657,248,336
5414693,209493069,Cellar,,750ml,USD,1,15.3525,15.0,15.0,USD,Costco,8/17/2025,,2022,Cantine Povero Langhe Nebbiolo,"Italy, Piedmont, Langhe, Langhe DOC",Italy,Piedmont,Langhe,Langhe DOC,Cantine Povero,Cantine Povero,Red,Red,Dry,Nebbiolo,Nebbiolo,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,2,,,2026.0,2028.0,33,18,0,15
4466719,198336761,Cellar,,1.5L,USD,1,125.5416,135.0,135.0,USD,Winery Direct,11/16/2024,,2018,Domaine Carneros Blanc de Blancs,"USA, California, Napa / Sonoma, Carneros",USA,California,Napa / Sonoma,Carneros,Domaine Carneros,"Carneros, Domaine ",White - Sparkling,White,Sparkling,Chardonnay,Chardonnay,Blanc de Blancs,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.625,8,,,2023.0,2028.0,689,341,12,336
5245462,209094840,Cellar,,750ml,USD,1,54.1083,60.0,60.0,USD,Winery Direct,8/9/2025,,2019,Domaine Carneros Brut Late Disgorged,"USA, California, Napa / Sonoma, Carneros",USA,California,Napa / Sonoma,Carneros,Domaine Carneros,"Carneros, Domaine ",White - Sparkling,White,Sparkling,Champagne Blend,Champagne Blend,Brut Late Disgorged,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,2,,,2025.0,2029.0,388,311,2,75
5245462,213383932,Cellar,,1.5L,USD,1,123.2234,130.0,130.0,USD,Winery Direct,11/18/2025,,2019,Domaine Carneros Brut Late Disgorged,"USA, California, Napa / Sonoma, Carneros",USA,California,Napa / Sonoma,Carneros,Domaine Carneros,"Carneros, Domaine ",White - Sparkling,White,Sparkling,Champagne Blend,Champagne Blend,Brut Late Disgorged,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,2,,,2025.0,2029.0,388,311,2,75
5068690,196074210,Cellar,,750ml,USD,1,120.3,125.0,125.0,USD,Winery Direct,9/24/2024,,2017,Domaine Carneros Le Reve Blanc de Blanc,"USA, California, Napa / Sonoma, Carneros",USA,California,Napa / Sonoma,Carneros,Domaine Carneros,"Carneros, Domaine ",White - Sparkling,White,Sparkling,Chardonnay,Chardonnay,Le Reve Blanc de Blanc,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,2,,,2023.0,2031.0,221,167,0,54
5513766,212197432,Cellar,,750ml,USD,1,117.7823,128.0,128.0,USD,Winery Direct,10/26/2025,,2018,Domaine Carneros Le Reve Blanc de Blanc,"USA, California, Napa / Sonoma, Carneros",USA,California,Napa / Sonoma,Carneros,Domaine Carneros,"Carneros, Domaine ",White - Sparkling,White,Sparkling,Chardonnay,Chardonnay,Le Reve Blanc de Blanc,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,1,,,2024.0,2032.0,67,57,3,7
5182513,207396789,Cellar,,750ml,USD,1,56.3357,0.0,0.0,USD,Unknown,6/23/2025,,2023,Domaine Carneros Pinot Noir Pommard Clone,"USA, California, Napa / Sonoma, Carneros",USA,California,Napa / Sonoma,Carneros,Domaine Carneros,"Carneros, Domaine ",Red,Red,Dry,Pinot Noir,Pinot Noir,Pommard Clone,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2024.0,2032.0,103,78,0,25
5465549,209094878,Cellar,,750ml,USD,1,55.0026,59.0,59.0,USD,Winery Direct,8/9/2025,,2023,Domaine Carneros Pinot Noir Tula Vista,"USA, California, Napa / Sonoma, Carneros",USA,California,Napa / Sonoma,Carneros,Domaine Carneros,"Carneros, Domaine ",Red,Red,Dry,Pinot Noir,Pinot Noir,Unknown,Tula Vista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,1,,,2026.0,2030.0,95,79,0,16
5015887,194650002,Cellar,,750ml,USD,1,37.1222,42.0,42.0,USD,Winery Direct,8/11/2024,,2020,Domaine Carneros Vermeil Demi Sec,"USA, California, Napa / Sonoma, Carneros",USA,California,Napa / Sonoma,Carneros,Domaine Carneros,"Carneros, Domaine ",White - Sparkling,White,Sparkling,Champagne Blend,Champagne Blend,Vermeil Demi Sec,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,1,,,2025.0,2029.0,67,45,0,22
